Survey Name RA Dec
AUXTEL_DRP_IMAGING SMC_011 00:49:24.60 -73:04:54.97
AUXTEL_DRP_IMAGING SMC_012 00:50:42.30 -73:04:54.97
AUXTEL_DRP_IMAGING SMC_013 00:52:00.00 -73:04:54.97
AUXTEL_DRP_IMAGING SMC_014 00:53:17.70 -73:04:54.97
AUXTEL_DRP_IMAGING SMC_015 00:54:35.40 -73:04:54.97
AUXTEL_DRP_IMAGING SMC_016 00:55:53.09 -73:04:54.97
AUXTEL_DRP_IMAGING SMC_017 00:46:50.88 -72:59:16.34
AUXTEL_DRP_IMAGING SMC_018 00:48:08.16 -72:59:16.34
AUXTEL_DRP_IMAGING SMC_019 00:49:25.44 -72:59:16.34
AUXTEL_DRP_IMAGING SMC_020 00:50:42.72 -72:59:16.34
AUXTEL_DRP_IMAGING SMC_021 00:52:00.00 -72:59:16.34
AUXTEL_DRP_IMAGING SMC_022 00:53:17.28 -72:59:16.34
AUXTEL_DRP_IMAGING SMC_023 00:54:34.56 -72:59:16.34
AUXTEL_DRP_IMAGING SMC_024 00:55:51.84 -72:59:16.34
AUXTEL_DRP_IMAGING SMC_025 00:46:52.53 -72:53:37.71
AUXTEL_DRP_IMAGING SMC_026 00:48:09.40 -72:53:37.71
AUXTEL_DRP_IMAGING SMC_027 00:49:26.26 -72:53:37.71
AUXTEL_DRP_IMAGING SMC_028 00:50:43.13 -72:53:37.71
AUXTEL_DRP_IMAGING SMC_029 00:52:00.00 -72:53:37.71
AUXTEL_DRP_IMAGING SMC_030 00:53:16.87 -72:53:37.71
AUXTEL_DRP_IMAGING SMC_031 00:54:33.74 -72:53:37.71
AUXTEL_DRP_IMAGING SMC_032 00:55:50.60 -72:53:37.71
AUXTEL_DRP_IMAGING SMC_033 00:46:54.16 -72:47:59.08
AUXTEL_DRP_IMAGING SMC_034 00:48:10.62 -72:47:59.08
AUXTEL_DRP_IMAGING SMC_035 00:49:27.08 -72:47:59.08
AUXTEL_DRP_IMAGING SMC_036 00:50:43.54 -72:47:59.08
AUXTEL_DRP_IMAGING SMC_037 00:52:00.00 -72:47:59.08
AUXTEL_DRP_IMAGING SMC_038 00:53:16.46 -72:47:59.08
AUXTEL_DRP_IMAGING SMC_039 00:54:32.92 -72:47:59.08
AUXTEL_DRP_IMAGING SMC_040 00:55:49.38 -72:47:59.08
AUXTEL_DRP_IMAGING SMC_041 00:46:55.77 -72:42:20.46
AUXTEL_DRP_IMAGING SMC_042 00:48:11.83 -72:42:20.46
AUXTEL_DRP_IMAGING SMC_043 00:49:27.89 -72:42:20.46
AUXTEL_DRP_IMAGING SMC_044 00:50:43.94 -72:42:20.46
AUXTEL_DRP_IMAGING SMC_045 00:52:00.00 -72:42:20.46
AUXTEL_DRP_IMAGING SMC_046 00:53:16.06 -72:42:20.46
AUXTEL_DRP_IMAGING SMC_047 00:54:32.11 -72:42:20.46
AUXTEL_DRP_IMAGING SMC_048 00:55:48.17 -72:42:20.46
AUXTEL_DRP_IMAGING SMC_049 00:46:57.37 -72:36:41.83
AUXTEL_DRP_IMAGING SMC_050 00:48:13.03 -72:36:41.83
AUXTEL_DRP_IMAGING SMC_051 00:49:28.69 -72:36:41.83
AUXTEL_DRP_IMAGING SMC_052 00:50:44.34 -72:36:41.83
AUXTEL_DRP_IMAGING SMC_053 00:52:00.00 -72:36:41.83
AUXTEL_DRP_IMAGING SMC_054 00:53:15.66 -72:36:41.83
AUXTEL_DRP_IMAGING SMC_055 00:54:31.31 -72:36:41.83
AUXTEL_DRP_IMAGING SMC_056 00:55:46.97 -72:36:41.83
AUXTEL_DRP_IMAGING SMC_057 00:46:58.95 -72:31:03.21
AUXTEL_DRP_IMAGING SMC_058 00:48:14.22 -72:31:03.21
AUXTEL_DRP_IMAGING SMC_059 00:49:29.48 -72:31:03.21
AUXTEL_DRP_IMAGING SMC_060 00:50:44.74 -72:31:03.21
AUXTEL_DRP_IMAGING SMC_061 00:52:00.00 -72:31:03.21
AUXTEL_DRP_IMAGING SMC_062 00:53:15.26 -72:31:03.21
AUXTEL_DRP_IMAGING SMC_063 00:54:30.52 -72:31:03.21
AUXTEL_DRP_IMAGING SMC_064 00:55:45.78 -72:31:03.21
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_001 05:57:11.24 -53:12:07.20
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_002 05:57:48.93 -53:12:07.20
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_003 05:58:26.63 -53:12:07.20
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_004 05:59:04.33 -53:12:07.20
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_005 05:59:42.02 -53:12:07.20
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_006 06:00:19.72 -53:12:07.20
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_007 06:00:57.42 -53:12:07.20
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_008 06:01:35.11 -53:12:07.20
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_009 05:57:11.57 -53:06:28.71
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_010 05:57:49.18 -53:06:28.71
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_011 05:58:26.80 -53:06:28.71
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_012 05:59:04.41 -53:06:28.71
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_013 05:59:42.02 -53:06:28.71
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_014 06:00:19.64 -53:06:28.71
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_015 06:00:57.25 -53:06:28.71
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_016 06:01:34.87 -53:06:28.71
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_017 05:57:11.89 -53:00:50.21
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_018 05:57:49.43 -53:00:50.21
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_019 05:58:26.96 -53:00:50.21
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_020 05:59:04.49 -53:00:50.21
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_021 05:59:42.02 -53:00:50.21
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_022 06:00:19.56 -53:00:50.21
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_023 06:00:57.09 -53:00:50.21
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_024 06:01:34.62 -53:00:50.21
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_025 05:57:12.22 -52:55:11.72
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_026 05:57:49.67 -52:55:11.72
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_027 05:58:27.12 -52:55:11.72
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_028 05:59:04.57 -52:55:11.72
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_029 05:59:42.02 -52:55:11.72
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_030 06:00:19.48 -52:55:11.72
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_031 06:00:56.93 -52:55:11.72
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_032 06:01:34.38 -52:55:11.72
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_033 05:57:12.54 -52:49:33.23
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_034 05:57:49.91 -52:49:33.23
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_035 05:58:27.28 -52:49:33.23
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_036 05:59:04.65 -52:49:33.23
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_037 05:59:42.02 -52:49:33.23
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_038 06:00:19.39 -52:49:33.23
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_039 06:00:56.76 -52:49:33.23
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_040 06:01:34.13 -52:49:33.23
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_041 05:57:12.87 -52:43:54.74
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_042 05:57:50.16 -52:43:54.74
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_043 05:58:27.44 -52:43:54.74
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_044 05:59:04.73 -52:43:54.74
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_045 05:59:42.02 -52:43:54.74
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_046 06:00:19.31 -52:43:54.74
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_047 06:00:56.60 -52:43:54.74
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_048 06:01:33.89 -52:43:54.74
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_049 05:57:13.19 -52:38:16.25
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_050 05:57:50.40 -52:38:16.25
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_051 05:58:27.61 -52:38:16.25
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_052 05:59:04.81 -52:38:16.25
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_053 05:59:42.02 -52:38:16.25
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_054 06:00:19.23 -52:38:16.25
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_055 06:00:56.44 -52:38:16.25
